source sentence, target sentence
j essaie simplement de survivre. , i m just trying to survive.
c est un tr s bon musicien. , he s a very fine musician.
je suis fier de mon fils. , i m proud of my son.
il est engag dans l enseignement. , he is engaged in teaching.
vous tes fascinants. , you re fascinating.
il ne fait que se plaindre. , he is constantly complaining.
je suis vraiment occup e. , i m really busy.
je suis suffisamment forte. , i m strong enough.
vous tes fort grossier. , you re very rude.
vous adorerez ce livre. , you re going to love this book.
tu es une bonne m re. , you re a good mother.
tu es jeune. , you re young.
elle n est pas toujours en retard. , she is not always late.
je te vois sous un nouveau jour. , i m seeing you in a new light.
elle l a fait sursauter. , she startled him.
tu es le premier arriver. , you are the first to arrive.
tu es sournois. , you re sneaky.
je suis tr s heureux. , i m very happy.
c est un cologiste. , he is an environmentalist.
il a l habitude de parler des trangers. , he is used to talking to foreigners.
je suis encore endormie. , i m still sleepy.
vous tes fort habile. , you re very clever.
je vais avoir besoin de toi. , i m going to need you.
c est le seul enfant qu ils aient. , he is the only child they have.
je songe devenir s ur. , i m thinking of becoming a nun.
tu n es pas du matin hein? , you re not a morning person are you?
vous n tes pas toubib. , you re not a doctor.
elle tudiait l anglais le matin. , she studied english in the morning.
tu es immoral. , you re unethical.
elle a soudainement perdu connaissance. , she suddenly lost consciousness.
je suis heureux d avoir pu vous aider. , i m glad i could help.
il est arm jusqu aux dents. , he is armed to the teeth.
c est une c l bre chanteuse. , she is a famous singer.
j attends un coup de fil. , i m waiting for a call.
vous n tes pas grosse. , you re not fat.
c est un ami tr s proche. , he is my close friend.
il tudie l agronomie. , he is studying agriculture.
il profite de sa vie d colier. , he is enjoying his school life.
tu es surmen. , you re overworked.
il est habile trouver des pr textes. , he is clever at making excuses.
elle nous enseigne le fran ais. , she is teaching us french.
je me r jouis de vous revoir. , i m glad to see you again.
je vais appeler une ambulance. , i m going to call an ambulance.
je suis aussi affam qu un ours. , i m as hungry as a bear.
je n en suis plus s re. , i m not sure anymore.
sans toi je suis triste. , i m sad without you.
vous tes na fs. , you re naive.
je te soutiens. , i m supporting you.
tu n es pas totalement irr prochable. , you re not totally blameless.
je suis quelque peu d u. , i m a little disappointed.
je suis fatigu de tous leurs mensonges. , i m fed up with all their lies.
a va. , i m fine.
il est loin de chez lui. , he is away from home.
je me r jouis de vous voir heureux. , i m glad to see you re happy.
c est celui qui m a tripot. , he s the one who touched me.
je suis terrible avec les enfants. , i m horrible with kids.
vous tes fort courageuse. , you re very brave.
j aime les chats. , i am a cat person.
vous tes si belle dans cette robe! , you re so beautiful in that dress.
quelle menteuse tu fais! , you re such a liar.
je ne suis pas tr s occup e. , i m not very busy.
vous tes entre de bonnes mains maintenant. , you re in safe hands now.
il est apr s mes fesses. , he s after me.
je ne sais pas bien nager. , i am poor at swimming.
je n ai pas vraiment faim. , i m not really hungry.
je suis impressionn par ton fran ais. , i m impressed with your french.
j teins la lumi re. , i m turning the light off.
je retourne en fac. , i m going back to college.
il n est pas sa place. , he s out of position.
elle est en train d arroser les fleurs. , she is watering the flowers.
je suis ruin. , i m ruined.
je n tudie pas le fran ais. , i m not studying french.
il va bien. , he is doing well.
vous tes l instituteur. , you re the teacher.
vous tes odieuses. , you re obnoxious.
il est cardiologue. , he s a cardiologist.
je ne suis pas idiot. , i m not an idiot.
elle d pend de son poux. , she s dependent on her husband.
il est vraiment en bonne forme. , he s really in good shape.
c est un pleurnichard comme toujours. , he s a crybaby just like always.
je suis trop fatigu pour tudier. , i m too tired to do study.
je ne suis qu un enseignant. , i m just a teacher.
il est en cong aujourd hui. , he is off today.
je souffre de vertige. , i m afraid of heights.
j essaie juste de faire du fric. , i m just trying to make a buck.
je crains de t avoir offens e. , i m afraid i ve offended you.
vous tes fort courageuses. , you re very brave.
je ne sugg re rien. , i m not suggesting anything.
il d ambule aux alentours en transe. , he is wandering around in a trance.
c est un monsieur. , he is a gentleman.
vous tes trop intelligent pour votre s curit. , you re too clever for your own good.
je crains l examen. , i m dreading the exam.
c est un adversaire redoutable. , he is a formidable opponent.
il le fait correctement. , he s doing it right.
je me renseigne pour en acqu rir un. , i m looking into getting one.
tu n es pas la premi re. , you re not the first.
je m attendais une lettre de sa part. , i am expecting a letter from her.
tu en as d j fini. , you re finished already.
elle est en train de pleurer. , she is crying.
il est plus fort que toi. , he s stronger than you.
tu es une personne merveilleuse. , you re a wonderful guy.
je ne vais pas payer pour a. , i m not paying for this.
il fait partie de mes amis. , he is included among my friends.
je suis tranquille. , i m quiet.
vous tes toutes contre moi. , you re all against me.
c est mon associ. , he s my partner.
j ai peur de mourir. , i m afraid of death.
c est une bonne danseuse. , she is a good dancer.
cela fait vingt ans qu il enseigne. , he s been teaching for years.
il fr le les cinquante ans. , he s pushing fifty.
je n ai pas peur des femmes. , i m not scared of women.
je suis une artiste. , i m an artist.
je souffre d un mauvais rhume. , i am suffering from a bad cold.
tu n es pas un saint. , you re no saint.
je suis un tantinet jalouse. , i m a little bit jealous.
elle m est trang re. , she is a stranger to me.
je suis tellement d sol e! , i am so sorry.
il est nerveux d aller en am rique. , he is anxious to go to america.
il est tr s contrari par cela. , he s very upset by this.
je reste ici. , i m staying here.
je suis plus d gourdie que vous. , i m smarter than you.
je suis assez heureux. , i m happy enough.
elle nage bien. , she swims well.
elle est non seulement belle mais aussi intelligente. , she is not only beautiful but also intelligent.
je ne suis pas devin. , i m not a psychic.
c est vraiment une gentille fille. , she is really a nice girl.
je suis enseignant en fran ais. , i m a french teacher.
tu es fort g n reuse. , you re very generous.
j choue dans mon travail. , i m failing at my job.
il craint la mort. , he is afraid of death.
c est un homme de famille noble. , he is a man of noble birth.
vous tes endurant. , you re resilient.
vous tes parfois si pu ril. , you are so childish sometimes.
j en ai fini avec vous. , i m finished with you.
vous n tes pas un perdant. , you re not a loser.
j ai peur qu elle ait les oreillons. , i m afraid she may have the mumps.
je suis am ricaine. , i am american.
tu es plus grande que moi. , you re taller than me.
c est le pitre de la classe. , he s the class clown.
tu es tr s ouverte. , you re very open.
c est un flemmard. , he s a slob.
vous tes libre d y aller. , you re free to go.
je suis encore endormi. , i m still sleepy.
je ne suis pas assez bon pour vous. , i m not good enough for you.
vous tes culturiste n est ce pas? , you re a bodybuilder aren t you?
je suis content que vous soyez toujours l. , i m glad you re still here.
je t en prie. , you re welcome.
je suis paresseux. , i m lazy.
elle semble tre partie pour tokyo hier. , she seems to have left for tokyo yesterday.
je vous ignore. , i m ignoring you.
je suis allergique quelques m dicaments. , i m allergic to some medicine.
je suis impatiente. , i m impatient.
vous tes arrogante. , you re arrogant.
il a la grippe. , he s got the flu.
vous tes tr s intelligente. , you re very intelligent.
je fais de mon mieux. , i am doing my best.
je me m lange les pinceaux. , i m confused.
je suis employ de banque. , i m a bank clerk.
je ne suis pas aussi maligne que vous. , i m not as smart as you.
elle l a poignard dans le dos. , she stabbed him in the back.
tu es courageuse. , you re courageous.
je suis satisfait de sa performance. , i m pleased with his performance.
il est accroch aux m dicaments. , he s addicted to drugs.
je vais avoir besoin de votre aide. , i m going to need your help.
il sort avec ma fille. , he s dating my daughter.
elle se plaint toujours de mon faible salaire. , she is always complaining about my small salary.
je suis si heureux de te revoir. , i m so happy to see you again.
je suis trop vieux pour vous. , i m too old for you.
je suis en train d baucher un plan. , i m drafting a plan.
tu es mon p re. , you are my father.
il s inqui te de sa calvitie naissante. , he s worried about his receding hairline.
vous tes en danger vous aussi. , you re in danger too.
tu es celle l. , you are the one.
il est crivain. , he is a writer.
je ne suis pas en col re. , i m not angry.
vous tes tr s bon ceci. , you re very good at this.
j en ai marre de tous tes chichis. , i m tired of all your fussing.
je suis terrifi e. , i m terrified.
je cherche un emploi. , i m looking for a job.
tu es tr s intelligente. , you re very intelligent.
je suis plus petit que toi. , i m shorter than you.
j appelle pour signaler un portefeuille perdu. , i m calling to report a lost wallet.
vous tes fantasques. , you re temperamental.
je n en peux plus de l anglais. , i m sick of english.
je m habitue ce mode de vie. , i am accustoming to this life style.
je suis arm. , i m armed.
il joue dans sa chambre. , he is playing in his room.
il est attir par les filles asiatiques. , he s attracted to asian girls.
ce n est pas un mauvais gar on. , he s not a bad boy.
elle est chanteuse. , she is a singer.
vous n tes pas le bienvenu ici. , you re not welcome here.
vous tes grossiers. , you re rude.
j ai les crocs. , i m starved.
je suis encore mari. , i m still married.
je suis s r que tom viendra demain. , i m sure that tom will come tomorrow.
vous tes vraiment t te en l air. , you re really absent minded.
vous tes tr s sage. , you re very wise.
tu es un fouteur de merde. , you are a troublemaker.
je demande ce que vous en pensez. , i m asking what you think.
